#DEBUT TROLLS
114;-11;-31;0
305;-2;-32;0
315;19;-25;-8
365;-15;-59;0
1252;18;-22;-7
98673;23;-30;0
1491;17;-33;0
2055;12;-9;-9
2081;11;-40;0
2177;-1;-5;-1
2296;21;-7;-11
2310;25;-59;0
2406;-20;-7;0
2805;0;-29;0
2999;-27;-32;0
3592;1;-32;0
4299;-6;-38;0
4478;-25;-26;0
4591;22;-33;0
5192;25;-15;0
5782;10;-49;0
6110;18;-22;-7
6154;-21;-7;0
6309;-6;-27;0
6797;17;-57;-3
7332;-10;-20;-14
7422;-11;-52;0
7866;-3;-9;0
8292;-28;-29;-7
8474;21;-34;0
8493;9;-18;0
98944;-2;-37;0
8800;-11;-9;0
9326;-21;-9;-10
9390;-4;-28;0
9516;-17;-40;0
9549;4;-27;0
9651;-25;-15;0
9911;-19;-56;0
10133;4;-29;0
10365;-7;-49;0
10658;23;-47;0
10890;-26;-26;0
10929;-1;-40;0
11289;-1;-10;-3
11532;8;-55;0
11563;4;-26;0
11864;-7;-11;0
97324;-16;-33;-1
13230;23;-23;-3
13318;0;-29;0
13584;15;-23;0
13719;-12;-56;0
14163;23;-58;-1
14280;-8;-22;0
14502;10;-32;0
14790;5;-22;-5
15174;-10;-20;-14
15513;9;-48;0
15762;-11;-59;0
98683;3;-22;0
16303;-17;-5;0
16391;11;-15;0
16648;-6;-15;-11
17322;5;-53;0
17508;11;-39;-12
17564;-3;-26;-6
17602;20;-14;0
17658;-6;-55;0
98878;-16;-31;0
18412;20;-14;0
18436;-28;-26;-10
18679;-15;-25;0
18761;-10;-20;-14
18808;1;-31;0
19261;-25;-25;0
19336;21;-7;0
19584;-15;-8;0
20346;-10;-32;0
20724;-17;-24;0
95317;-1;-24;-10
21381;-3;-33;-1
21673;-6;-44;0
22131;0;-32;-1
22175;1;-16;0
22242;20;-15;0
22296;-5;-38;0
22502;-16;-20;0
88226;-10;-29;-11
22853;5;-52;0
96350;24;-7;0
23024;5;-54;0
23204;-5;-14;-10
23276;14;-25;0
24214;20;-8;0
25668;-17;-55;0
25715;0;-19;0
25897;13;-28;0
26190;-11;-29;-5
94919;24;-40;-2
26944;-20;-7;0
27077;16;-38;0
27254;-27;-30;0
27417;-25;-13;0
27442;11;-35;0
27469;23;-13;0
88153;-10;-30;0
91020;-10;-9;0
28105;5;-29;-2
28640;-18;-55;-1
28692;-29;-13;0
94622;4;-11;-6
28939;-17;-55;-1
29249;12;-10;-7
29357;22;-23;-7
96513;-12;-26;-12
96692;1;-58;0
29703;-16;-15;0
29740;19;-24;-5
29847;19;-47;0
29855;24;-6;-13
30132;15;-45;-2
30211;-2;-29;0
30271;20;-26;-8
96195;-21;-28;-4
30382;18;-22;0
95765;7;-27;-3
97211;-8;-57;0
31624;15;-19;0
31645;-18;-52;-1
31820;-28;-25;0
95027;-12;-23;-9
31883;-28;-27;0
31916;24;-56;0
32099;-6;-44;0
32227;-7;-43;0
32553;-25;-5;0
96644;-12;-23;-9
32633;-20;-20;0
32653;-3;-10;0
32770;7;-19;0
33195;-7;-17;0
33241;1;-5;0
33393;1;-39;0
33425;-2;-27;0
33791;-21;-41;-8
34753;15;-10;-10
34905;24;-52;0
96440;-22;-39;-12
35047;24;-14;0
35140;-5;-30;0
35343;-20;-36;0
35408;-1;-53;0
35592;22;-10;0
35597;2;-48;0
35696;-4;-18;-4
36443;-12;-30;0
93718;0;-36;0
36912;25;-47;0
37294;-24;-18;0
37352;-13;-11;0
37482;-13;-48;0
37597;18;-14;0
98798;-13;-20;0
38488;-12;-6;0
38838;19;-9;0
38999;15;-10;0
39343;10;-58;0
40022;-12;-55;0
40283;-12;-12;0
40294;-12;-46;-11
40318;-9;-9;0
40941;12;-52;0
41049;0;-49;0
98914;-11;-16;-3
41868;25;-25;0
42224;-4;-50;0
98446;21;-21;-1
43196;-29;-31;-1
43783;13;-52;0
43789;-10;-8;-6
43970;-10;-18;-4
44013;15;-11;0
44356;3;-26;0
44723;-28;-27;0
96887;-24;-49;0
45461;-13;-32;0
45750;-28;-11;0
45897;-25;-52;0
46591;17;-39;0
47098;12;-37;0
47121;-25;-35;-9
47395;-4;-22;0
47606;21;-15;0
92395;-1;-30;0
47981;6;-30;0
47983;8;-55;-9
48084;-19;-54;-1
48212;16;-9;0
48270;0;-51;0
48453;19;-30;0
48469;-5;-48;0
48571;-25;-25;0
99284;7;-16;-1
96995;24;-11;-4
49544;14;-31;0
97235;25;-18;-8
92353;9;-21;-1
49783;2;-48;0
49797;-1;-44;0
49988;-17;-25;-2
50281;-9;-14;-9
50601;-1;-10;-3
50758;21;-23;-7
50775;-7;-15;0
51343;6;-9;0
94695;-8;-10;-8
51881;-24;-50;-5
97138;-5;-12;-7
96691;16;-11;-5
52167;-16;-56;0
52749;-26;-10;0
53006;-19;-53;-9
53293;18;-37;-14
53517;8;-33;-13
53957;4;-38;0
88750;-10;-40;-3
98634;-18;-49;0
54473;9;-57;0
55045;1;-7;0
55126;11;-51;0
56156;6;-18;0
56304;11;-5;0
86483;-2;-50;0
56413;10;-32;0
56524;12;-32;0
56546;-19;-53;0
56780;24;-58;-2
98278;-3;-33;-4
